dataset_name,source_type,retrieval_method,freshness_sla_days,trust_tier,citation_url,refresh_instructions,notes
candidates,official,manual_from_sbe_csv,2,1,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Refresh from SBE statewide candidate CSV before each model run.,Official ballot status source.
historical_2022_primary_results,official,manual_from_sbe_html,365,1,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_results_2022_1_P.html,Refresh only if SBE archive changes.,Official statewide historical prior source.
historical_2022_county_results,official,manual_from_sbe_html,365,1,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_detail_results_2022_1_1_Republican_P.html,Refresh only if SBE archive changes.,Official county historical prior source.
finance,news_and_official,dynamic_database_plus_reporting,3,2,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Update from MDCRIS and cross-check against reporting after each finance deadline.,Current GOP campaign finance summary.
events,news,manual_news_coding,3,2,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Add new debates endorsements and campaign events as they occur.,Qualitative viability signal.
markets,market,manual_market_snapshot,1,3,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Refresh market prices directly before any wager decision.,External price check only.
polls,polling,source_check,2,2,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,Add only credible candidate-level polls; otherwise record no-poll checks.,No usable poll rows as of May 20 2026.
environment_polls,polling,manual_compilation_from_public_poll_reports,2,2,https://marylandmatters.org/tag/gonzales-poll/,"Compile Moore approval, direction-of-state, and matchup polling from public Maryland polling reports.","Related Maryland environment polling used as weak context signals."
election_admin,official_and_news,manual_from_sbe_and_ap,3,1,https://elections.maryland.gov/elections/2026/vote2026/index.html,Refresh SBE election admin pages and AP-style fact checks during mail ballot period.,Election calendar and ballot replacement context.
source_checks,internal,manual_log,1,1,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,Append checks when a source is reviewed and no model row is added.,Audit trail for no-new-data checks.
wager_settings,internal,manual_policy,30,1,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Change only deliberately when risk policy changes.,Safety-gated betting defaults.
